transaction_id,date,merchant,amount,category,payment_method,description
T00001,2025-09-01,Amazon Prime,299.0,Subscription,AutoPay,Monthly subscription fee - Amazon Prime
T00002,2025-09-01,Supermarket Fresh,2685.88,Groceries,Card,Groceries purchase at Supermarket Fresh
T00003,2025-09-02,Uber Rides,518.24,Transport,Card,Transport purchase at Uber Rides
T00004,2025-09-02,Swiggy Instamart,905.71,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00005,2025-09-03,Google One,149.0,Subscription,AutoPay,Monthly subscription fee - Google One
T00006,2025-09-03,Shell Fuel Station,1665.32,Transport,Card,Transport purchase at Shell Fuel Station
T00007,2025-09-04,BookMyShow,1014.87,Entertainment,UPI,Entertainment purchase at BookMyShow
T00008,2025-09-04,Shell Fuel Station,2098.42,Transport,Card,Transport purchase at Shell Fuel Station
T00009,2025-09-05,Spotify,119.0,Subscription,AutoPay,Monthly subscription fee - Spotify
T00010,2025-09-05,Uber Rides,499.07,Transport,UPI,Transport purchase at Uber Rides
T00011,2025-09-06,Uber Rides,257.66,Transport,UPI,Transport purchase at Uber Rides
T00012,2025-09-06,StarCoffee Cafe,207.82,Dining,UPI,Dining purchase at StarCoffee Cafe
T00013,2025-09-06,TechStore Electronics,10246.19,Shopping,NetBanking,Shopping purchase at TechStore Electronics
T00014,2025-09-07,BookMyShow,805.37,Entertainment,UPI,Entertainment purchase at BookMyShow
T00015,2025-09-08,Dropbox,800.0,Subscription,Card,Monthly subscription fee - Dropbox
T00016,2025-09-08,StarCoffee Cafe,345.61,Dining,UPI,Dining purchase at StarCoffee Cafe
T00017,2025-09-08,Swiggy Instamart,510.74,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00018,2025-09-08,Supermarket Fresh,2432.98,Groceries,UPI,Groceries purchase at Supermarket Fresh
T00019,2025-09-08,StarCoffee Cafe,436.6,Dining,UPI,Dining purchase at StarCoffee Cafe
T00020,2025-09-09,Local Diner,771.42,Dining,UPI,Dining purchase at Local Diner
T00021,2025-09-09,Uber Rides,335.09,Transport,Card,Transport purchase at Uber Rides
T00022,2025-09-09,PharmaCare Chemist,515.13,Shopping,Card,Shopping purchase at PharmaCare Chemist
T00023,2025-09-09,Swiggy Instamart,1272.16,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00024,2025-09-10,YouTube Premium,149.0,Subscription,AutoPay,Monthly subscription fee - YouTube Premium
T00025,2025-09-10,Adobe,2672.0,Subscription,Card,Monthly subscription fee - Adobe
T00026,2025-09-10,Water Works Dept,508.7,Utilities,AutoPay,Utilities purchase at Water Works Dept
T00027,2025-09-10,PharmaCare Chemist,599.94,Shopping,Card,Shopping purchase at PharmaCare Chemist
T00028,2025-09-11,Supermarket Fresh,2885.89,Groceries,UPI,Groceries purchase at Supermarket Fresh
T00029,2025-09-11,Local Diner,326.12,Dining,UPI,Dining purchase at Local Diner
T00030,2025-09-12,Netflix,649.0,Subscription,AutoPay,Monthly subscription fee - Netflix
T00031,2025-09-12,PharmaCare Chemist,858.86,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00032,2025-09-12,Uber Rides,282.44,Transport,Card,Transport purchase at Uber Rides
T00033,2025-09-13,BookMyShow,943.04,Entertainment,UPI,Entertainment purchase at BookMyShow
T00034,2025-09-13,TechStore Electronics,3022.19,Shopping,Card,Shopping purchase at TechStore Electronics
T00035,2025-09-13,Zomato Food Delivery,580.27,Dining,UPI,Dining purchase at Zomato Food Delivery
T00036,2025-09-14,Uber Rides,463.72,Transport,UPI,Transport purchase at Uber Rides
T00037,2025-09-15,Microsoft 365,489.0,Subscription,Card,Monthly subscription fee - Microsoft 365
T00038,2025-09-15,City Electricity Board,2530.37,Utilities,UPI,Utilities purchase at City Electricity Board
T00039,2025-09-16,Zomato Food Delivery,848.37,Dining,UPI,Dining purchase at Zomato Food Delivery
T00040,2025-09-16,PharmaCare Chemist,1186.67,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00041,2025-09-16,PharmaCare Chemist,623.46,Shopping,UPI,Shopping purchase at PharmaCare Chemist
T00042,2025-09-17,CloudBox,799.0,Subscription,AutoPay,Monthly subscription fee - CloudBox
T00043,2025-09-17,Uber Rides,376.86,Transport,UPI,Transport purchase at Uber Rides
T00044,2025-09-17,Zomato Food Delivery,776.23,Dining,UPI,Dining purchase at Zomato Food Delivery
T00045,2025-09-17,PharmaCare Chemist,561.7,Shopping,Card,Shopping purchase at PharmaCare Chemist
T00046,2025-09-17,Uber Rides,336.96,Transport,Card,Transport purchase at Uber Rides
T00047,2025-09-18,NewsPlus,199.0,Subscription,AutoPay,Monthly subscription fee - NewsPlus
T00048,2025-09-18,Swiggy Instamart,737.55,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00049,2025-09-19,TechStore Electronics,10605.3,Shopping,NetBanking,Shopping purchase at TechStore Electronics
T00050,2025-09-20,FitnessPro,499.0,Subscription,AutoPay,Monthly subscription fee - FitnessPro
T00051,2025-09-20,Supermarket Fresh,1108.75,Groceries,Card,Groceries purchase at Supermarket Fresh
T00052,2025-09-20,StarCoffee Cafe,399.57,Dining,UPI,Dining purchase at StarCoffee Cafe
T00053,2025-09-21,Uber Rides,479.88,Transport,Card,Transport purchase at Uber Rides
T00054,2025-09-21,Local Diner,856.82,Dining,UPI,Dining purchase at Local Diner
T00055,2025-09-22,GamingPlus,699.0,Subscription,Card,Monthly subscription fee - GamingPlus
T00056,2025-09-22,Zomato Food Delivery,771.34,Dining,UPI,Dining purchase at Zomato Food Delivery
T00057,2025-09-22,BookMyShow,642.89,Entertainment,UPI,Entertainment purchase at BookMyShow
T00058,2025-09-23,Zomato Food Delivery,549.58,Dining,UPI,Dining purchase at Zomato Food Delivery
T00059,2025-09-23,Shell Fuel Station,1328.05,Transport,Card,Transport purchase at Shell Fuel Station
T00060,2025-09-23,Swiggy Instamart,1132.75,Groceries,UPI,Groceries purchase at Swiggy Instamart
T00061,2025-09-23,Supermarket Fresh,573.63,Groceries,Card,Groceries purchase at Supermarket Fresh
T00062,2025-09-24,StarCoffee Cafe,451.63,Dining,UPI,Dining purchase at StarCoffee Cafe
T00063,2025-09-24,StarCoffee Cafe,334.25,Dining,UPI,Dining purchase at StarCoffee Cafe
T00064,2025-09-25,Substack Pro,399.0,Subscription,Card,Monthly subscription fee - Substack Pro
T00065,2025-09-25,Shell Fuel Station,2278.47,Transport,Card,Transport purchase at Shell Fuel Station
T00066,2025-09-25,Shell Fuel Station,2769.24,Transport,Card,Transport purchase at Shell Fuel Station
T00067,2025-09-25,Shell Fuel Station,1388.65,Transport,Card,Transport purchase at Shell Fuel Station
T00068,2025-09-25,TechStore Electronics,5371.15,Shopping,NetBanking,Shopping purchase at TechStore Electronics
T00069,2025-09-26,PharmaCare Chemist,1087.11,Shopping,Card,Shopping purchase at PharmaCare Chemist
T00070,2025-09-27,City Electricity Board,3466.18,Utilities,AutoPay,Utilities purchase at City Electricity Board
T00071,2025-09-28,VPN Shield,299.0,Subscription,Card,Monthly subscription fee - VPN Shield
T00072,2025-09-28,Shell Fuel Station,1580.42,Transport,Card,Transport purchase at Shell Fuel Station
T00073,2025-09-28,Uber Rides,360.94,Transport,UPI,Transport purchase at Uber Rides
T00074,2025-09-29,Shell Fuel Station,2948.97,Transport,Card,Transport purchase at Shell Fuel Station
T00075,2025-09-29,Water Works Dept,744.41,Utilities,AutoPay,Utilities purchase at Water Works Dept
